Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,sbert ↑
RJ,backtranslation via zh,logreg,GPT-4o,"0.079 ± 0.052 [0.013, 0.170]","0.503 ± 0.063 [0.385, 0.625]","0.096 ± 0.039 [0.035, 0.168]","0.801 ± 0.081 [0.653, 0.953]","0.462 ± 0.008 [0.447, 0.478]","0.884 ± 0.004 [0.876, 0.892]","0.936 ± 0.004 [0.930, 0.943]"
RJ,backtranslation via zh,logreg,Gemma-2,"0.119 ± 0.036 [0.057, 0.185]","0.254 ± 0.049 [0.164, 0.346]","0.125 ± 0.037 [0.062, 0.197]","0.854 ± 0.085 [0.691, 1.011]","0.902 ± 0.003 [0.895, 0.908]","0.548 ± 0.006 [0.538, 0.559]","0.513 ± 0.009 [0.497, 0.530]"
RJ,backtranslation via zh,logreg,Ministral,"0.100 ± 0.034 [0.042, 0.164]","0.227 ± 0.049 [0.136, 0.318]","0.104 ± 0.035 [0.044, 0.168]","0.912 ± 0.090 [0.746, 1.081]","0.900 ± 0.003 [0.893, 0.906]","0.549 ± 0.006 [0.537, 0.559]","0.516 ± 0.010 [0.498, 0.534]"
RJ,backtranslation via zh,logreg,Llama-3.1,"0.083 ± 0.032 [0.034, 0.142]","0.272 ± 0.051 [0.177, 0.364]","0.095 ± 0.033 [0.040, 0.156]","0.870 ± 0.085 [0.712, 1.032]","0.901 ± 0.003 [0.895, 0.908]","0.550 ± 0.006 [0.539, 0.560]","0.506 ± 0.009 [0.489, 0.522]"
RJ,backtranslation via zh,logreg,Claude-3.5,"0.059 ± 0.042 [0.009, 0.131]","0.299 ± 0.052 [0.199, 0.394]","0.088 ± 0.034 [0.033, 0.148]","0.974 ± 0.097 [0.785, 1.153]","0.775 ± 0.006 [0.764, 0.786]","0.737 ± 0.006 [0.726, 0.748]","0.861 ± 0.006 [0.849, 0.872]"
RJ,backtranslation via zh,svm,GPT-4o,"0.143 ± 0.043 [0.072, 0.225]","0.551 ± 0.058 [0.437, 0.657]","0.105 ± 0.035 [0.046, 0.168]","3.330 ± 0.053 [3.232, 3.430]","0.462 ± 0.008 [0.447, 0.478]","0.884 ± 0.004 [0.876, 0.892]","0.936 ± 0.004 [0.930, 0.943]"
RJ,backtranslation via zh,svm,Gemma-2,"0.074 ± 0.030 [0.026, 0.126]","0.234 ± 0.049 [0.143, 0.327]","0.078 ± 0.030 [0.028, 0.132]","3.197 ± 0.069 [3.067, 3.326]","0.902 ± 0.003 [0.895, 0.908]","0.548 ± 0.006 [0.538, 0.559]","0.513 ± 0.009 [0.497, 0.530]"
RJ,backtranslation via zh,svm,Ministral,"0.074 ± 0.030 [0.026, 0.126]","0.200 ± 0.047 [0.114, 0.285]","0.072 ± 0.030 [0.024, 0.121]","3.318 ± 0.056 [3.210, 3.420]","0.900 ± 0.003 [0.893, 0.906]","0.549 ± 0.006 [0.537, 0.559]","0.516 ± 0.010 [0.498, 0.534]"
RJ,backtranslation via zh,svm,Llama-3.1,"0.083 ± 0.031 [0.031, 0.139]","0.281 ± 0.053 [0.182, 0.376]","0.081 ± 0.030 [0.030, 0.136]","3.256 ± 0.064 [3.136, 3.375]","0.901 ± 0.003 [0.895, 0.908]","0.550 ± 0.006 [0.539, 0.560]","0.506 ± 0.009 [0.489, 0.522]"
RJ,backtranslation via zh,svm,Claude-3.5,"0.108 ± 0.036 [0.046, 0.174]","0.359 ± 0.055 [0.248, 0.455]","0.082 ± 0.032 [0.030, 0.138]","3.719 ± 0.028 [3.665, 3.772]","0.775 ± 0.006 [0.764, 0.786]","0.737 ± 0.006 [0.726, 0.748]","0.861 ± 0.006 [0.849, 0.872]"
RJ,backtranslation via zh,roberta,GPT-4o,"0.156 ± 0.041 [0.081, 0.233]","0.424 ± 0.057 [0.310, 0.527]","0.163 ± 0.043 [0.088, 0.242]","1.188 ± 0.069 [1.059, 1.317]","0.462 ± 0.008 [0.447, 0.478]","0.884 ± 0.004 [0.876, 0.892]","0.936 ± 0.004 [0.930, 0.943]"
RJ,backtranslation via zh,roberta,Gemma-2,"0.018 ± 0.020 [0.001, 0.049]","0.173 ± 0.044 [0.095, 0.255]","0.052 ± 0.024 [0.014, 0.094]","1.211 ± 0.078 [1.068, 1.359]","0.902 ± 0.003 [0.895, 0.908]","0.548 ± 0.006 [0.538, 0.559]","0.513 ± 0.009 [0.497, 0.530]"
RJ,backtranslation via zh,roberta,Ministral,"0.047 ± 0.034 [0.007, 0.103]","0.182 ± 0.045 [0.098, 0.263]","0.064 ± 0.029 [0.020, 0.114]","1.230 ± 0.071 [1.098, 1.366]","0.900 ± 0.003 [0.893, 0.906]","0.549 ± 0.006 [0.537, 0.559]","0.516 ± 0.010 [0.498, 0.534]"
RJ,backtranslation via zh,roberta,Llama-3.1,"0.036 ± 0.035 [0.002, 0.087]","0.154 ± 0.042 [0.076, 0.231]","0.063 ± 0.027 [0.018, 0.109]","1.204 ± 0.074 [1.061, 1.340]","0.901 ± 0.003 [0.895, 0.908]","0.550 ± 0.006 [0.539, 0.560]","0.506 ± 0.009 [0.489, 0.522]"
RJ,backtranslation via zh,roberta,Claude-3.5,"0.182 ± 0.045 [0.098, 0.263]","0.254 ± 0.049 [0.164, 0.346]","0.171 ± 0.044 [0.096, 0.254]","1.717 ± 0.089 [1.551, 1.884]","0.775 ± 0.006 [0.764, 0.786]","0.737 ± 0.006 [0.726, 0.748]","0.861 ± 0.006 [0.849, 0.872]"
