Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,simplification w exemplar,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.091 ± 0.035 [0.033, 0.151]","0.029 ± 0.019 [0.005, 0.061]","1.675 ± 0.081 [1.528, 1.828]","0.911 ± 0.002 [0.906, 0.915]","0.488 ± 0.004 [0.482, 0.495]","0.152 ± 0.003 [0.147, 0.158]"
EBG,simplification w exemplar,roberta,Claude-3.5,"0.426 ± 0.057 [0.321, 0.535]","0.595 ± 0.056 [0.483, 0.700]","0.376 ± 0.056 [0.268, 0.481]","1.831 ± 0.079 [1.679, 1.977]","0.803 ± 0.003 [0.797, 0.809]","0.651 ± 0.004 [0.644, 0.658]","0.228 ± 0.004 [0.221, 0.235]"
EBG,simplification w exemplar,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.090 ± 0.033 [0.033, 0.152]","0.029 ± 0.022 [0.004, 0.064]","1.632 ± 0.079 [1.494, 1.789]","0.908 ± 0.003 [0.904, 0.913]","0.474 ± 0.004 [0.467, 0.481]","0.102 ± 0.002 [0.097, 0.106]"
EBG,simplification w exemplar,roberta,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.100 ± 0.033 [0.040, 0.161]","0.033 ± 0.021 [0.007, 0.068]","2.210 ± 0.089 [2.042, 2.379]","0.904 ± 0.002 [0.900, 0.908]","0.482 ± 0.004 [0.475, 0.488]","0.122 ± 0.003 [0.117, 0.127]"
EBG,simplification w exemplar,roberta,GPT-4o,"0.544 ± 0.057 [0.436, 0.651]","0.682 ± 0.052 [0.583, 0.779]","0.511 ± 0.057 [0.408, 0.622]","1.574 ± 0.080 [1.426, 1.727]","0.662 ± 0.005 [0.652, 0.673]","0.739 ± 0.004 [0.731, 0.746]","0.356 ± 0.006 [0.346, 0.368]"
RJ,simplification w exemplar,logreg,Ministral,"0.100 ± 0.035 [0.039, 0.161]","0.261 ± 0.055 [0.163, 0.369]","0.092 ± 0.032 [0.038, 0.152]","0.631 ± 0.086 [0.484, 0.801]","0.866 ± 0.004 [0.859, 0.874]","0.539 ± 0.006 [0.528, 0.550]","0.131 ± 0.005 [0.122, 0.139]"
RJ,simplification w exemplar,logreg,Claude-3.5,"0.211 ± 0.058 [0.110, 0.318]","0.343 ± 0.057 [0.237, 0.448]","0.189 ± 0.049 [0.101, 0.278]","0.851 ± 0.083 [0.704, 1.010]","0.758 ± 0.005 [0.749, 0.768]","0.692 ± 0.006 [0.681, 0.703]","0.269 ± 0.006 [0.259, 0.280]"
RJ,simplification w exemplar,logreg,GPT-4o,"0.200 ± 0.046 [0.114, 0.283]","0.415 ± 0.059 [0.302, 0.523]","0.176 ± 0.044 [0.097, 0.256]","0.914 ± 0.093 [0.743, 1.090]","0.605 ± 0.007 [0.593, 0.619]","0.776 ± 0.005 [0.765, 0.786]","0.391 ± 0.007 [0.377, 0.404]"
RJ,simplification w exemplar,logreg,Gemma-2,"0.040 ± 0.036 [0.004, 0.096]","0.237 ± 0.048 [0.144, 0.325]","0.073 ± 0.029 [0.027, 0.129]","0.986 ± 0.086 [0.825, 1.149]","0.865 ± 0.004 [0.857, 0.873]","0.534 ± 0.006 [0.523, 0.545]","0.164 ± 0.005 [0.156, 0.174]"
RJ,simplification w exemplar,logreg,Llama-3.1,"0.034 ± 0.031 [0.003, 0.083]","0.261 ± 0.053 [0.163, 0.360]","0.064 ± 0.027 [0.022, 0.115]","1.236 ± 0.089 [1.073, 1.410]","0.872 ± 0.004 [0.864, 0.879]","0.544 ± 0.006 [0.532, 0.554]","0.185 ± 0.005 [0.176, 0.194]"
RJ,simplification w exemplar,svm,Ministral,"0.054 ± 0.039 [0.008, 0.121]","0.216 ± 0.048 [0.131, 0.308]","0.068 ± 0.030 [0.022, 0.121]","2.987 ± 0.069 [2.855, 3.117]","0.866 ± 0.004 [0.859, 0.874]","0.539 ± 0.006 [0.528, 0.550]","0.131 ± 0.005 [0.122, 0.139]"
RJ,simplification w exemplar,svm,Claude-3.5,"0.059 ± 0.041 [0.009, 0.128]","0.388 ± 0.056 [0.277, 0.489]","0.084 ± 0.031 [0.032, 0.140]","3.328 ± 0.030 [3.272, 3.386]","0.758 ± 0.005 [0.749, 0.768]","0.692 ± 0.006 [0.681, 0.703]","0.269 ± 0.006 [0.259, 0.280]"
RJ,simplification w exemplar,svm,GPT-4o,"0.034 ± 0.033 [0.003, 0.088]","0.359 ± 0.055 [0.248, 0.455]","0.088 ± 0.032 [0.033, 0.144]","3.481 ± 0.029 [3.427, 3.538]","0.605 ± 0.007 [0.593, 0.619]","0.776 ± 0.005 [0.765, 0.786]","0.391 ± 0.007 [0.377, 0.404]"
RJ,simplification w exemplar,svm,Gemma-2,"0.074 ± 0.030 [0.026, 0.126]","0.223 ± 0.053 [0.126, 0.319]","0.078 ± 0.031 [0.028, 0.135]","2.863 ± 0.067 [2.738, 2.988]","0.865 ± 0.004 [0.857, 0.873]","0.534 ± 0.006 [0.523, 0.545]","0.164 ± 0.005 [0.156, 0.174]"
RJ,simplification w exemplar,svm,Llama-3.1,"0.045 ± 0.037 [0.003, 0.111]","0.191 ± 0.046 [0.111, 0.275]","0.066 ± 0.029 [0.019, 0.115]","3.257 ± 0.040 [3.181, 3.332]","0.872 ± 0.004 [0.864, 0.879]","0.544 ± 0.006 [0.532, 0.554]","0.185 ± 0.005 [0.176, 0.194]"
RJ,simplification w exemplar,roberta,Ministral,"0.048 ± 0.033 [0.007, 0.104]","0.281 ± 0.053 [0.181, 0.377]","0.055 ± 0.027 [0.016, 0.101]","1.686 ± 0.084 [1.528, 1.841]","0.866 ± 0.004 [0.859, 0.874]","0.539 ± 0.006 [0.528, 0.550]","0.131 ± 0.005 [0.122, 0.139]"
RJ,simplification w exemplar,roberta,Claude-3.5,"0.051 ± 0.044 [0.005, 0.127]","0.424 ± 0.056 [0.318, 0.533]","0.071 ± 0.029 [0.027, 0.124]","1.399 ± 0.097 [1.224, 1.584]","0.758 ± 0.005 [0.749, 0.768]","0.692 ± 0.006 [0.681, 0.703]","0.269 ± 0.006 [0.259, 0.280]"
RJ,simplification w exemplar,roberta,GPT-4o,"0.128 ± 0.038 [0.063, 0.201]","0.379 ± 0.057 [0.271, 0.486]","0.120 ± 0.037 [0.055, 0.189]","1.436 ± 0.086 [1.279, 1.597]","0.605 ± 0.007 [0.593, 0.619]","0.776 ± 0.005 [0.765, 0.786]","0.391 ± 0.007 [0.377, 0.404]"
RJ,simplification w exemplar,roberta,Gemma-2,"0.074 ± 0.030 [0.026, 0.126]","0.244 ± 0.048 [0.155, 0.337]","0.085 ± 0.032 [0.032, 0.141]","1.755 ± 0.079 [1.608, 1.909]","0.865 ± 0.004 [0.857, 0.873]","0.534 ± 0.006 [0.523, 0.545]","0.164 ± 0.005 [0.156, 0.174]"
RJ,simplification w exemplar,roberta,Llama-3.1,"0.042 ± 0.039 [0.004, 0.108]","0.254 ± 0.051 [0.157, 0.346]","0.060 ± 0.029 [0.016, 0.107]","1.695 ± 0.082 [1.548, 1.852]","0.872 ± 0.004 [0.864, 0.879]","0.544 ± 0.006 [0.532, 0.554]","0.185 ± 0.005 [0.176, 0.194]"
