Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,imitation w 2500words,roberta,GPT-4o,"0.564 ± 0.058 [0.456, 0.672]","0.736 ± 0.051 [0.640, 0.830]","0.538 ± 0.057 [0.430, 0.646]","1.449 ± 0.081 [1.295, 1.599]","0.611 ± 0.006 [0.600, 0.623]","0.819 ± 0.004 [0.812, 0.827]","0.508 ± 0.007 [0.495, 0.522]"
EBG,imitation w 2500words,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.130 ± 0.038 [0.063, 0.201]","0.029 ± 0.020 [0.004, 0.062]","1.376 ± 0.080 [1.232, 1.532]","0.930 ± 0.002 [0.925, 0.934]","0.499 ± 0.004 [0.490, 0.507]","0.183 ± 0.003 [0.176, 0.189]"
EBG,imitation w 2500words,roberta,Gemma-2,"0.017 ± 0.020 [0.001, 0.045]","0.078 ± 0.032 [0.031, 0.137]","0.034 ± 0.023 [0.006, 0.072]","2.166 ± 0.084 [2.011, 2.326]","0.929 ± 0.002 [0.925, 0.932]","0.484 ± 0.003 [0.478, 0.491]","0.151 ± 0.003 [0.146, 0.156]"
EBG,imitation w 2500words,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.129 ± 0.041 [0.055, 0.202]","0.032 ± 0.021 [0.005, 0.065]","1.512 ± 0.081 [1.361, 1.664]","0.925 ± 0.003 [0.920, 0.930]","0.491 ± 0.005 [0.483, 0.500]","0.165 ± 0.004 [0.158, 0.173]"
EBG,imitation w 2500words,roberta,Claude-3.5,"0.289 ± 0.052 [0.192, 0.388]","0.556 ± 0.058 [0.447, 0.665]","0.258 ± 0.050 [0.168, 0.354]","2.141 ± 0.082 [1.984, 2.289]","0.856 ± 0.003 [0.851, 0.861]","0.615 ± 0.004 [0.609, 0.622]","0.211 ± 0.003 [0.205, 0.218]"
RJ,imitation w 2500words,logreg,Llama-3.1,"0.074 ± 0.030 [0.026, 0.126]","0.239 ± 0.056 [0.140, 0.346]","0.082 ± 0.031 [0.031, 0.138]","0.879 ± 0.103 [0.695, 1.075]","0.914 ± 0.003 [0.908, 0.920]","0.547 ± 0.006 [0.537, 0.558]","0.217 ± 0.005 [0.208, 0.226]"
RJ,imitation w 2500words,logreg,GPT-4o,"0.127 ± 0.041 [0.059, 0.202]","0.388 ± 0.059 [0.280, 0.497]","0.116 ± 0.037 [0.047, 0.179]","0.890 ± 0.089 [0.730, 1.061]","0.703 ± 0.007 [0.691, 0.716]","0.792 ± 0.005 [0.782, 0.802]","0.404 ± 0.008 [0.389, 0.419]"
RJ,imitation w 2500words,logreg,Gemma-2,"0.053 ± 0.037 [0.009, 0.119]","0.244 ± 0.049 [0.155, 0.335]","0.073 ± 0.033 [0.020, 0.130]","0.571 ± 0.073 [0.443, 0.712]","0.903 ± 0.004 [0.896, 0.909]","0.541 ± 0.007 [0.528, 0.553]","0.235 ± 0.005 [0.225, 0.244]"
RJ,imitation w 2500words,logreg,Ministral,"0.059 ± 0.041 [0.008, 0.131]","0.250 ± 0.059 [0.146, 0.365]","0.081 ± 0.034 [0.027, 0.139]","0.661 ± 0.082 [0.518, 0.818]","0.898 ± 0.003 [0.891, 0.904]","0.547 ± 0.006 [0.536, 0.558]","0.191 ± 0.005 [0.181, 0.201]"
RJ,imitation w 2500words,logreg,Claude-3.5,"0.036 ± 0.035 [0.002, 0.087]","0.299 ± 0.053 [0.201, 0.398]","0.048 ± 0.029 [0.011, 0.099]","0.464 ± 0.059 [0.359, 0.577]","0.831 ± 0.004 [0.823, 0.839]","0.658 ± 0.006 [0.647, 0.668]","0.249 ± 0.005 [0.238, 0.259]"
RJ,imitation w 2500words,svm,Llama-3.1,"0.029 ± 0.029 [0.003, 0.078]","0.209 ± 0.047 [0.124, 0.296]","0.072 ± 0.029 [0.022, 0.122]","3.880 ± 0.022 [3.839, 3.921]","0.914 ± 0.003 [0.908, 0.920]","0.547 ± 0.006 [0.537, 0.558]","0.217 ± 0.005 [0.208, 0.226]"
RJ,imitation w 2500words,svm,GPT-4o,"0.053 ± 0.039 [0.006, 0.116]","0.341 ± 0.064 [0.219, 0.456]","0.084 ± 0.032 [0.032, 0.140]","3.342 ± 0.056 [3.240, 3.452]","0.703 ± 0.007 [0.691, 0.716]","0.792 ± 0.005 [0.782, 0.802]","0.404 ± 0.008 [0.389, 0.419]"
RJ,imitation w 2500words,svm,Gemma-2,"0.100 ± 0.035 [0.039, 0.161]","0.261 ± 0.053 [0.166, 0.363]","0.090 ± 0.032 [0.036, 0.149]","2.784 ± 0.072 [2.648, 2.918]","0.903 ± 0.004 [0.896, 0.909]","0.541 ± 0.007 [0.528, 0.553]","0.235 ± 0.005 [0.225, 0.244]"
RJ,imitation w 2500words,svm,Ministral,"0.047 ± 0.034 [0.007, 0.103]","0.190 ± 0.048 [0.106, 0.279]","0.063 ± 0.027 [0.020, 0.110]","3.126 ± 0.069 [2.998, 3.256]","0.898 ± 0.003 [0.891, 0.904]","0.547 ± 0.006 [0.536, 0.558]","0.191 ± 0.005 [0.181, 0.201]"
RJ,imitation w 2500words,svm,Claude-3.5,"0.074 ± 0.030 [0.026, 0.126]","0.312 ± 0.059 [0.204, 0.424]","0.066 ± 0.028 [0.021, 0.116]","2.950 ± 0.064 [2.826, 3.066]","0.831 ± 0.004 [0.823, 0.839]","0.658 ± 0.006 [0.647, 0.668]","0.249 ± 0.005 [0.238, 0.259]"
RJ,imitation w 2500words,roberta,Llama-3.1,"0.025 ± 0.026 [0.001, 0.066]","0.200 ± 0.047 [0.113, 0.285]","0.047 ± 0.024 [0.012, 0.089]","1.613 ± 0.079 [1.456, 1.756]","0.914 ± 0.003 [0.908, 0.920]","0.547 ± 0.006 [0.537, 0.558]","0.217 ± 0.005 [0.208, 0.226]"
RJ,imitation w 2500words,roberta,GPT-4o,"0.147 ± 0.041 [0.071, 0.222]","0.307 ± 0.053 [0.208, 0.404]","0.136 ± 0.041 [0.065, 0.210]","1.638 ± 0.076 [1.495, 1.780]","0.703 ± 0.007 [0.691, 0.716]","0.792 ± 0.005 [0.782, 0.802]","0.404 ± 0.008 [0.389, 0.419]"
RJ,imitation w 2500words,roberta,Gemma-2,"0.040 ± 0.036 [0.004, 0.096]","0.235 ± 0.050 [0.142, 0.327]","0.066 ± 0.034 [0.017, 0.120]","0.960 ± 0.083 [0.811, 1.119]","0.903 ± 0.004 [0.896, 0.909]","0.541 ± 0.007 [0.528, 0.553]","0.235 ± 0.005 [0.225, 0.244]"
RJ,imitation w 2500words,roberta,Ministral,"0.029 ± 0.028 [0.002, 0.074]","0.153 ± 0.042 [0.077, 0.229]","0.057 ± 0.025 [0.016, 0.102]","1.631 ± 0.084 [1.472, 1.789]","0.898 ± 0.003 [0.891, 0.904]","0.547 ± 0.006 [0.536, 0.558]","0.191 ± 0.005 [0.181, 0.201]"
RJ,imitation w 2500words,roberta,Claude-3.5,"0.099 ± 0.034 [0.042, 0.164]","0.270 ± 0.053 [0.174, 0.373]","0.109 ± 0.035 [0.047, 0.172]","1.594 ± 0.072 [1.455, 1.724]","0.831 ± 0.004 [0.823, 0.839]","0.658 ± 0.006 [0.647, 0.668]","0.249 ± 0.005 [0.238, 0.259]"
