Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,sbert ↑
EBG,backtranslation via zh,roberta,Claude-3.5,,,,"1.429 ± 0.055 [1.330, 1.535]","0.666 ± 0.004 [0.658, 0.674]","0.771 ± 0.003 [0.765, 0.777]","0.937 ± 0.002 [0.934, 0.940]"
EBG,backtranslation via zh,roberta,Ministral,,,,"1.682 ± 0.063 [1.567, 1.804]","0.923 ± 0.003 [0.917, 0.930]","0.490 ± 0.005 [0.480, 0.500]","0.124 ± 0.008 [0.109, 0.141]"
EBG,backtranslation via zh,roberta,Llama-3.1,,,,"1.293 ± 0.056 [1.191, 1.398]","0.902 ± 0.004 [0.895, 0.910]","0.513 ± 0.005 [0.503, 0.522]","0.132 ± 0.009 [0.116, 0.149]"
EBG,backtranslation via zh,roberta,Gemma-2,,,,"1.332 ± 0.057 [1.227, 1.439]","0.865 ± 0.006 [0.853, 0.876]","0.522 ± 0.006 [0.510, 0.534]","0.148 ± 0.010 [0.128, 0.166]"
EBG,backtranslation via zh,roberta,GPT-4o,,,,"1.451 ± 0.057 [1.340, 1.551]","0.419 ± 0.005 [0.409, 0.429]","0.880 ± 0.003 [0.875, 0.885]","0.966 ± 0.001 [0.964, 0.968]"
RJ,backtranslation via de,logreg,Llama-3.1,"0.117 ± 0.038 [0.051, 0.187]","0.280 ± 0.053 [0.181, 0.376]","0.118 ± 0.036 [0.053, 0.184]","0.872 ± 0.082 [0.726, 1.031]","0.900 ± 0.003 [0.893, 0.907]","0.549 ± 0.006 [0.538, 0.560]","0.506 ± 0.009 [0.489, 0.523]"
RJ,backtranslation via de,logreg,Gemma-2,"0.100 ± 0.034 [0.043, 0.164]","0.272 ± 0.052 [0.175, 0.368]","0.107 ± 0.034 [0.051, 0.174]","1.006 ± 0.090 [0.831, 1.170]","0.901 ± 0.003 [0.895, 0.908]","0.548 ± 0.006 [0.538, 0.560]","0.510 ± 0.009 [0.493, 0.526]"
RJ,backtranslation via de,logreg,GPT-4o,"0.117 ± 0.038 [0.052, 0.187]","0.548 ± 0.059 [0.432, 0.661]","0.131 ± 0.040 [0.059, 0.203]","0.803 ± 0.077 [0.669, 0.959]","0.369 ± 0.008 [0.352, 0.384]","0.919 ± 0.004 [0.912, 0.926]","0.956 ± 0.003 [0.950, 0.961]"
RJ,backtranslation via de,logreg,Ministral,"0.057 ± 0.045 [0.006, 0.137]","0.233 ± 0.057 [0.126, 0.338]","0.079 ± 0.040 [0.021, 0.154]","0.768 ± 0.094 [0.594, 0.946]","0.924 ± 0.006 [0.913, 0.935]","0.515 ± 0.008 [0.500, 0.529]","0.441 ± 0.016 [0.411, 0.469]"
RJ,backtranslation via de,logreg,Claude-3.5,"0.029 ± 0.027 [0.002, 0.076]","0.296 ± 0.056 [0.191, 0.403]","0.053 ± 0.026 [0.015, 0.099]","0.729 ± 0.078 [0.592, 0.881]","0.705 ± 0.008 [0.692, 0.721]","0.781 ± 0.006 [0.769, 0.792]","0.888 ± 0.006 [0.877, 0.898]"
RJ,backtranslation via zh,logreg,GPT-4o,,,,"0.799 ± 0.056 [0.696, 0.904]","0.415 ± 0.007 [0.403, 0.428]","0.904 ± 0.003 [0.899, 0.909]","0.948 ± 0.002 [0.944, 0.952]"
RJ,backtranslation via zh,logreg,Gemma-2,,,,"0.926 ± 0.061 [0.812, 1.041]","0.903 ± 0.002 [0.899, 0.907]","0.549 ± 0.003 [0.542, 0.555]","0.512 ± 0.006 [0.501, 0.523]"
RJ,backtranslation via zh,logreg,Ministral,,,,"0.829 ± 0.065 [0.717, 0.959]","0.914 ± 0.004 [0.908, 0.921]","0.532 ± 0.004 [0.523, 0.540]","0.477 ± 0.010 [0.459, 0.495]"
RJ,backtranslation via zh,logreg,Llama-3.1,,,,"0.868 ± 0.058 [0.762, 0.978]","0.902 ± 0.002 [0.899, 0.906]","0.549 ± 0.003 [0.543, 0.556]","0.506 ± 0.006 [0.494, 0.517]"
RJ,backtranslation via zh,logreg,Claude-3.5,,,,"0.857 ± 0.062 [0.740, 0.975]","0.741 ± 0.005 [0.732, 0.751]","0.760 ± 0.004 [0.752, 0.768]","0.875 ± 0.004 [0.867, 0.883]"
RJ,backtranslation via de,svm,Llama-3.1,"0.074 ± 0.030 [0.026, 0.126]","0.245 ± 0.051 [0.148, 0.339]","0.074 ± 0.030 [0.024, 0.127]","3.177 ± 0.073 [3.035, 3.308]","0.900 ± 0.003 [0.893, 0.907]","0.549 ± 0.006 [0.538, 0.560]","0.506 ± 0.009 [0.489, 0.523]"
RJ,backtranslation via de,svm,Gemma-2,"0.074 ± 0.030 [0.026, 0.126]","0.215 ± 0.047 [0.135, 0.311]","0.075 ± 0.029 [0.029, 0.128]","3.306 ± 0.059 [3.190, 3.412]","0.901 ± 0.003 [0.895, 0.908]","0.548 ± 0.006 [0.538, 0.560]","0.510 ± 0.009 [0.493, 0.526]"
RJ,backtranslation via de,svm,GPT-4o,"0.110 ± 0.037 [0.046, 0.175]","0.498 ± 0.059 [0.389, 0.612]","0.104 ± 0.036 [0.042, 0.167]","3.221 ± 0.067 [3.091, 3.346]","0.369 ± 0.008 [0.352, 0.384]","0.919 ± 0.004 [0.912, 0.926]","0.956 ± 0.003 [0.950, 0.961]"
RJ,backtranslation via de,svm,Ministral,"0.056 ± 0.052 [0.005, 0.141]","0.251 ± 0.053 [0.159, 0.357]","0.074 ± 0.032 [0.025, 0.132]","3.227 ± 0.057 [3.115, 3.328]","0.924 ± 0.006 [0.913, 0.935]","0.515 ± 0.008 [0.500, 0.529]","0.441 ± 0.016 [0.411, 0.469]"
RJ,backtranslation via de,svm,Claude-3.5,"0.067 ± 0.045 [0.012, 0.146]","0.370 ± 0.059 [0.261, 0.482]","0.084 ± 0.031 [0.033, 0.141]","3.616 ± 0.034 [3.551, 3.677]","0.705 ± 0.008 [0.692, 0.721]","0.781 ± 0.006 [0.769, 0.792]","0.888 ± 0.006 [0.877, 0.898]"
RJ,backtranslation via zh,svm,GPT-4o,,,,"3.277 ± 0.042 [3.197, 3.355]","0.415 ± 0.007 [0.403, 0.428]","0.904 ± 0.003 [0.899, 0.909]","0.948 ± 0.002 [0.944, 0.952]"
RJ,backtranslation via zh,svm,Gemma-2,,,,"3.252 ± 0.046 [3.163, 3.337]","0.903 ± 0.002 [0.899, 0.907]","0.549 ± 0.003 [0.542, 0.555]","0.512 ± 0.006 [0.501, 0.523]"
RJ,backtranslation via zh,svm,Ministral,,,,"3.273 ± 0.040 [3.195, 3.345]","0.914 ± 0.004 [0.908, 0.921]","0.532 ± 0.004 [0.523, 0.540]","0.477 ± 0.010 [0.459, 0.495]"
RJ,backtranslation via zh,svm,Llama-3.1,,,,"3.217 ± 0.049 [3.129, 3.312]","0.902 ± 0.002 [0.899, 0.906]","0.549 ± 0.003 [0.543, 0.556]","0.506 ± 0.006 [0.494, 0.517]"
RJ,backtranslation via zh,svm,Claude-3.5,,,,"3.672 ± 0.022 [3.629, 3.711]","0.741 ± 0.005 [0.732, 0.751]","0.760 ± 0.004 [0.752, 0.768]","0.875 ± 0.004 [0.867, 0.883]"
RJ,backtranslation via de,roberta,Llama-3.1,"0.034 ± 0.031 [0.003, 0.083]","0.210 ± 0.046 [0.131, 0.302]","0.055 ± 0.024 [0.016, 0.097]","1.230 ± 0.073 [1.102, 1.377]","0.900 ± 0.003 [0.893, 0.907]","0.549 ± 0.006 [0.538, 0.560]","0.506 ± 0.009 [0.489, 0.523]"
RJ,backtranslation via de,roberta,Gemma-2,"0.074 ± 0.030 [0.026, 0.126]","0.146 ± 0.041 [0.071, 0.222]","0.060 ± 0.027 [0.017, 0.105]","1.202 ± 0.074 [1.061, 1.340]","0.901 ± 0.003 [0.895, 0.908]","0.548 ± 0.006 [0.538, 0.560]","0.510 ± 0.009 [0.493, 0.526]"
RJ,backtranslation via de,roberta,GPT-4o,"0.165 ± 0.041 [0.092, 0.240]","0.424 ± 0.057 [0.310, 0.527]","0.176 ± 0.045 [0.097, 0.255]","1.180 ± 0.071 [1.047, 1.313]","0.369 ± 0.008 [0.352, 0.384]","0.919 ± 0.004 [0.912, 0.926]","0.956 ± 0.003 [0.950, 0.961]"
RJ,backtranslation via de,roberta,Ministral,"0.036 ± 0.035 [0.002, 0.087]","0.154 ± 0.043 [0.077, 0.231]","0.052 ± 0.024 [0.014, 0.094]","1.663 ± 0.096 [1.489, 1.849]","0.924 ± 0.006 [0.913, 0.935]","0.515 ± 0.008 [0.500, 0.529]","0.441 ± 0.016 [0.411, 0.469]"
RJ,backtranslation via de,roberta,Claude-3.5,"0.182 ± 0.044 [0.098, 0.262]","0.290 ± 0.053 [0.194, 0.389]","0.174 ± 0.043 [0.099, 0.258]","1.577 ± 0.083 [1.420, 1.729]","0.705 ± 0.008 [0.692, 0.721]","0.781 ± 0.006 [0.769, 0.792]","0.888 ± 0.006 [0.877, 0.898]"
RJ,backtranslation via zh,roberta,GPT-4o,,,,"1.183 ± 0.050 [1.090, 1.275]","0.415 ± 0.007 [0.403, 0.428]","0.904 ± 0.003 [0.899, 0.909]","0.948 ± 0.002 [0.944, 0.952]"
RJ,backtranslation via zh,roberta,Gemma-2,,,,"1.205 ± 0.054 [1.104, 1.305]","0.903 ± 0.002 [0.899, 0.907]","0.549 ± 0.003 [0.542, 0.555]","0.512 ± 0.006 [0.501, 0.523]"
RJ,backtranslation via zh,roberta,Ministral,,,,"1.459 ± 0.061 [1.345, 1.573]","0.914 ± 0.004 [0.908, 0.921]","0.532 ± 0.004 [0.523, 0.540]","0.477 ± 0.010 [0.459, 0.495]"
RJ,backtranslation via zh,roberta,Llama-3.1,,,,"1.217 ± 0.052 [1.123, 1.318]","0.902 ± 0.002 [0.899, 0.906]","0.549 ± 0.003 [0.543, 0.556]","0.506 ± 0.006 [0.494, 0.517]"
RJ,backtranslation via zh,roberta,Claude-3.5,,,,"1.647 ± 0.060 [1.535, 1.760]","0.741 ± 0.005 [0.732, 0.751]","0.760 ± 0.004 [0.752, 0.768]","0.875 ± 0.004 [0.867, 0.883]"
